Department,Date,Candidness,Candidness_Box,Assertive,Assertive_Box,Helping,Helping_Box,Self_Confidence,Self_Confidence_Box,Stress_Mngt,Stress_Mngt_Box,Achievement,Achievement_Box,Energy,Energy_Box,Sales_Ability,Sales_Ability_Box
employee,7/8/2014,70,Moderate,99,High,67,Moderate,58,Moderate,49,Moderate,83,High,96,High,27,Low
candidate,7/29/2014,99,High,52,Moderate,35,Moderate,19,Low,4,Low,65,Moderate,95,High,31,Moderate
candidate,7/11/2014,85,High,68,Moderate,93,High,85,High,69,High,75,Moderate,98,High,90,High
employee,8/22/2014,42,Moderate,85,High,73,High,19,Low,9,Low,83,High,97,High,72,High
candidate,7/29/2014,56,Moderate,41,Moderate,35,Moderate,51,Moderate,49,Moderate,34,Low,77,Moderate,72,High
candidate,7/21/2014,56,Moderate,73,Moderate,88,High,74,High,69,High,65,Moderate,98,High,90,High
candidate,7/14/2014,42,Moderate,82,High,35,Moderate,91,High,24,Moderate,95,High,41,Moderate,90,High
candidate,,85,,85,,60,Moderate,12,Low,3,Low,34,Low,99,High,27,Moderate
candidate,7/21/2014,56,Moderate,82,High,60,Moderate,63,Moderate,74,High,53,Moderate,82,High,77,High
candidate,7/21/2014,99,High,46,Moderate,93,High,12,Low,30,Moderate,15,Low,82,High,53,Moderate
candidate,7/8/2014,56,Moderate,88,High,51,Moderate,69,High,62,Moderate,92,High,73,Moderate,72,High
candidate,7/21/2014,85,High,82,High,51,Moderate,19,Low,19,Low,88,High,85,High,38,Moderate
employee,7/18/2014,99,High,95,High,95,High,95,High,97,High,97,High,99,High,99,High
candidate,7/29/2014,42,Moderate,98,High,60,Moderate,91,High,74,High,70,Moderate,96,High,59,Moderate
candidate,7/21/2014,14,Low,91,High,67,Moderate,96,High,89,High,92,High,98,High,95,High
candidate,7/14/2014,99,High,99,High,98,High,51,Moderate,49,Moderate,97,High,97,High,65,Moderate
candidate,7/22/2014,97,High,88,High,51,Moderate,74,High,36,Moderate,60,Moderate,68,Moderate,53,Moderate
employee,7/11/2014,99,High,36,Low,43,Moderate,15,Low,24,Moderate,9,Low,36,Low,53,Moderate
candidate,7/22/2014,42,Moderate,97,High,84,High,40,Moderate,91,High,83,High,96,High,95,High
employee,7/15/2014,99,High,63,Moderate,28,Moderate,63,Moderate,69,High,99,High,82,High,53,Moderate
candidate,7/21/2014,14,Low,46,Moderate,60,Moderate,93,High,83,High,60,Moderate,68,Moderate,65,Moderate
candidate,7/21/2014,99,High,58,Moderate,43,Moderate,19,Low,49,Moderate,41,Moderate,68,Moderate,65,Moderate
candidate,7/24/2014,99,High,88,High,73,High,19,Low,4,Low,34,Low,77,Moderate,45,Moderate
candidate,7/28/2014,70,Moderate,88,High,51,Moderate,95,High,74,High,95,High,99,High,85,High
candidate,7/21/2014,99,High,95,High,95,High,95,High,56,Moderate,91,High,96,High,97,High
candidate,7/15/2014,42,Moderate,36,Low,35,Moderate,83,High,24,Moderate,95,High,77,Moderate,31,Moderate
candidate,7/21/2014,97,High,73,Moderate,60,Moderate,34,Moderate,2,Low,82,Moderate,73,Moderate,14,Low
candidate,7/20/2014,8,Low,96,High,67,Moderate,79,High,89,High,53,Moderate,88,High,97,High
candidate,7/13/2014,97,High,78,Moderate,35,Moderate,69,High,49,Moderate,70,Moderate,97,High,93,High
candidate,7/24/2014,21,Low,85,High,8,Low,58,Moderate,62,Moderate,47,Moderate,82,High,81,High
candidate,7/14/2014,56,Moderate,26,Low,73,High,69,High,16,Low,53,Moderate,91,High,53,Moderate
candidate,7/21/2014,70,Moderate,85,High,21,Low,91,High,9,Low,70,Moderate,82,High,81,High
candidate,7/11/2014,99,High,85,High,67,Moderate,46,Moderate,4,Low,47,Moderate,73,Moderate,72,High
candidate,7/15/2014,85,High,88,High,88,High,69,High,79,High,70,Moderate,97,High,27,Low
candidate,7/16/2014,97,High,93,High,60,Moderate,91,High,79,High,98,High,99,High,97,High
candidate,7/18/2014,85,High,95,High,21,Low,40,Moderate,42,Moderate,91,High,93,High,72,High
candidate,7/15/2014,85,High,82,High,43,Moderate,63,Moderate,30,Moderate,82,Moderate,82,High,45,Moderate
candidate,7/21/2014,97,High,58,Moderate,43,Moderate,74,High,74,High,82,Moderate,88,High,98,High
